"x","predicted","std.error","conf.low","conf.high","group","group_col","variable"
-0.838,0.00582683393942043,0.165792378589628,0.0042170868538127,0.00804608890484,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.838,0.00199867303251573,0.239566751028992,0.00125068384677916,0.00319257776937492,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.834,0.00580475760237499,0.165574595843549,0.0042028697134128,0.00801227886582532,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.834,0.00199842199930861,0.238874143243028,0.00125222324160745,0.00318786066909201,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.827,0.00576632391778649,0.165197442139997,0.00417807212741766,0.00795351139335857,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.827,0.00199798276691037,0.237667069018371,0.00125490948100065,0.00317965344951834,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.76,0.00541102356779174,0.161849349686889,0.00394595629567008,0.00741599575394173,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.76,0.00199378355663847,0.22645376640692,0.00128006106618293,0.00310421874437905,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.745,0.00533451080856122,0.16116651168694,0.00389526823308651,0.00730163366816243,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.745,0.00199284464229706,0.224033305304105,0.00128553419584504,0.00308811919848969,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.743,0.00532439074785463,0.161077356814527,0.00388854466120132,0.00728654505137981,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.743,0.00199271948706325,0.223713217323459,0.00128625906274217,0.00308599481057281,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.711,0.00516504276421928,0.159712183540865,0.00378207362959101,0.00705013547102669,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.711,0.00199071806982025,0.21867931224903,0.0012976903178416,0.00305272397339981,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.659,0.00491616002172165,0.157745432692584,0.00361344161375424,0.0066853834093135,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.659,0.0019874700446465,0.21087276448814,0.00131552066837766,0.00300161009489861,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.635,0.00480535186501771,0.156945540304085,0.00353741385783921,0.00652478916780764,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.635,0.00198597274045183,0.207437949793003,0.00132339658669988,0.0029792868622893,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.632,0.00479167677134331,0.156850426531186,0.00352798958448875,0.0065050479904934,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.632,0.00198578565660148,0.20701648209285,0.00132436394378557,0.00297655398027352,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.631,0.00478712701877888,0.156818963963016,0.00352485205698248,0.0064984838556129,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.631,0.00198572329922672,0.206876389661734,0.00132468552418025,0.00297564588245807,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.629,0.00477804040747373,0.156756402298476,0.00351858284298932,0.00648537991093576,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.629,0.00198559859033986,0.206596802425389,0.00132532736860206,0.002973833988367,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.519,0.0043038419258111,0.154077154928869,0.00318561337302944,0.00581230740026842,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.519,0.00197875162542637,0.192543420486925,0.00135758879968862,0.0028833060345373,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.511,0.00427124161461908,0.153941759937661,0.00316229282498566,0.00576682539792739,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.511,0.00197825458450118,0.191630894650066,0.00135967390591035,0.00287744631491182,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.468,0.00410018200883456,0.153354901818741,0.00303899318436095,0.00552987295251764,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.468,0.00197558512356584,0.187006378848599,0.00137018431520826,0.00284771281460615,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.198,0.00317160911600107,0.1551581266663,0.00234190972785525,0.00429399192356865,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.198,0.00195890535587713,0.170626221355048,0.00140287197526285,0.00273472103720024,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.187,0.00313858580297416,0.155429963663686,0.00231627373884925,0.00425158697437433,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.187,0.00195822879756525,0.170477333346889,0.00140279591088684,0.00273298180369887,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
-0.026,0.00269268678103408,0.161082447596704,0.00196511932476131,0.00368863385048041,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
-0.026,0.00194835308847861,0.173211899667739,0.00138826724404611,0.00273378270958993,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.104,0.00237920006428114,0.167773882475894,0.00171360701509881,0.00330246511948136,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.104,0.00194041519812103,0.181825772535389,0.0013594930683765,0.00276888168145636,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.109,0.00236789880187036,0.168066055275798,0.00170448724633439,0.00328866929591169,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.109,0.00194011054008062,0.182261526874015,0.00135812065626194,0.00277080619318558,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.141,0.00229682818164404,0.169993666849523,0.00164707122554069,0.00320208714330353,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.141,0.0019381618587962,0.185220426725326,0.00134892081163199,0.00278407998919724,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.148,0.00228156742849324,0.170428430232892,0.00163472925520993,0.00318353375266756,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.148,0.00193773584523509,0.185906040802516,0.00134681554349978,0.00278720100733628,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.178,0.00221730181275616,0.172343635640014,0.00158271153345095,0.0031055404767953,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.178,0.00193591113112342,0.188994766268989,0.00133743634378105,0.00280143962276819,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.201,0.00216925744596499,0.173867729505606,0.00154378480411048,0.00304737022346998,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.201,0.00193451334512789,0.191522552835138,0.00132987388684796,0.00281328330813664,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.289,0.00199483369867191,0.1801222911474,0.00140231019513744,0.00283700715600582,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.289,0.00192917458788308,0.202372895849637,0.00129833219195012,0.00286565542216295,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.313,0.00194974197933271,0.181938407128753,0.00136573029688105,0.00278279201299427,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.313,0.00192772111702012,0.205630200754527,0.00128910785179574,0.00288178519221409,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.326,0.00192574353424518,0.182940878810337,0.00134626627400001,0.00275395902133785,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.326,0.00192693427670143,0.207443691891258,0.00128401523479184,0.00289083739585961,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.36,0.0018643630668739,0.185623152783325,0.00129650675571707,0.00268026697646765,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.36,0.0019248779017858,0.212342210482152,0.00127040401806011,0.0029155327500311,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.383,0.00182395217672143,0.187485741263111,0.00126377265453553,0.00263178240944511,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.383,0.00192348806676047,0.215777536540255,0.00126097799403537,0.00293305462895391,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.405,0.00178611669986218,0.189302452673104,0.00123314970912913,0.00258640213337101,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.405,0.00192215959656201,0.219150416961085,0.00125181416400007,0.00295041400891512,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.416,0.00176749378160907,0.190223368115463,0.00121808734422134,0.00256406848117735,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.416,0.0019214957049088,0.220867491947404,0.00124718242800448,0.00295930922987281,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.458,0.001698153731464,0.19381410445255,0.00116207802069029,0.0024809111416457,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.458,0.00191896295031658,0.227601740861576,0.00122922577477266,0.00299456170052722,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.469,0.00168044641377573,0.194773502670201,0.00114779629028086,0.00245967121789041,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.469,0.00191830016062591,0.229410042598841,0.00122445882769142,0.00300412510144885,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.478,0.0016660958025156,0.195564160023273,0.00113622907046332,0.00244245528877439,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.478,0.00191775804809964,0.230902720302165,0.00122054089579255,0.00301204979006917,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.503,0.00162687171568487,0.197786785431275,0.0011046482291422,0.00239538481483804,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.503,0.0019162529821272,0.235109204201224,0.00120958087233526,0.00303452901789403,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.55,0.00155560920738908,0.202066480985597,0.00104742321310307,0.00230978542519338,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.55,0.0019134266489331,0.243243363472773,0.00118871548152521,0.0030786027202725,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.676,0.00137957049923852,0.214135560977367,0.000907145155155061,0.00209751018589909,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.676,0.00190587018200494,0.26631453953699,0.00113172962585275,0.0032078479230738,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.684,0.00136909020957008,0.21492880454678,0.000898853239274823,0.00208481930554967,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.684,0.00190539141315586,0.267833924289181,0.00112808453870453,0.00321657698772578,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.702,0.00134579934333023,0.216724562192284,0.000880453354968195,0.00205658837236895,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.702,0.00190431462209885,0.271273856378024,0.00111987917541584,0.00323643882288847,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.716,0.00132795813907326,0.218131561772334,0.000866385433166208,0.00203493599255382,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.716,0.00190347753786752,0.273969194793647,0.00111349522285403,0.00325209741120805,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.722,0.00132038440059986,0.218737272204675,0.000860420717438146,0.00202573692461625,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.722,0.00190311889991787,0.275129511872001,0.00111075913603591,0.00325886425675254,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.761,0.00127219571931005,0.222712969567597,0.000822575516528318,0.00196709472110733,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.761,0.00190078939660043,0.282744153121675,0.00109298221033347,0.0033036605037959,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.827,0.00119461353919345,0.229585855851349,0.000762064332423718,0.00187221851267075,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.827,0.00189685364187213,0.295895943852537,0.00106299058406076,0.00338262563825747,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.895,0.00111962015788935,0.236842859249567,0.000704125890143378,0.0017798547573624,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.895,0.00189280712900558,0.309756382619564,0.00103232276142235,0.003468051317823,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
0.915,0.00109847183052342,0.239008911519929,0.000687895772130766,0.00175367342897851,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
0.915,0.00189161861870371,0.31388691341352,0.00102336411362959,0.00349395125554592,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
1.026,0.000988147897340132,0.251269404603492,0.000604098794656245,0.00161595717134225,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
1.026,0.00188503591252507,0.337202458550851,0.000974290512444724,0.00364402079175989,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
1.055,0.000961195540440443,0.254534666265881,0.000583869035740109,0.00158198404676089,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
1.055,0.00188331987672243,0.343392412939689,0.000961675990070028,0.00368498398111633,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
1.058,0.000958449629705875,0.254873827578321,0.000581813769837579,0.0015785147935664,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
1.058,0.00188314244479502,0.344034876868093,0.000960376394705223,0.0036892629494947,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
1.072,0.000945738641026273,0.256459921678906,0.000572313976786572,0.00156243532974848,"Mar-Aug (Reproductive)","Mar-Aug (Reproductive)","mature_forest_area"
1.072,0.00188231464971783,0.347038157822742,0.000954325217442442,0.00370933406986101,"Set-Feb (Non-Reproductive)","Set-Feb (Non-Reproductive)","mature_forest_area"
